Comtrade_No,Comtrade_name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
428,Latvia,366000000,0,0,0,260000000,295000000,284000000,280000000,280000000,300000000,310000000,650000000,635000000,752000000,901000000,1000000000,1200000000
422,Lebanon,3316000000,2714000000,2808000000,2890000000,2852000000,3500000000,4500000000,4500000000,3348000000,3945000000,4250000000,4900000000,5227000000,5550000000,5309000000,5831000000,5517000000
430,Liberia,10000000,15000000,15000000,15000000,54000000,25000000,121000000,144000000,154990000,157200000,94037000,70584000,72000000,81000000,122000000,194000000,295000000
434,Libya,3000000000,3000000000,3000000000,3000000000,3300000000,3500000000,3600000000,3621000000,5300000000,5206000000,5509000000,6500000000,7000000000,3500000000,2000000000,2000000000,2000000000
440,Lithuania,788000000,666000000,570000000,529000000,606000000,597000000,753000000,832000000,1065400000,1105365000,1075600000,583100000,834000000,996000000,1015000000,1070000000,903000000
442,Luxembourg,699000000,742000000,749000000,750000000,728000000,714000000,797000000,760000000,901000000,1081000000,1091000000,1000000000,1078000000,1319000000,1177000000,980000000,1100000000
807,TFYR of Macedonia,461000000,520000000,585000000,450000000,600000000,768000000,820000000,800000000,924225000,944529000,915553000,909106000,820000000,981000000,683000000,762000000,687000000
450,Madagascar,44000000,46000000,51000000,52000000,30000000,200000000,170000000,150000000,150000000,270000000,270000000,240000000,160000000,200000000,230000000,230000000,240000000
454,Malawi,134000000,187000000,156000000,181000000,109000000,161000000,120000000,160000000,187600000,185300000,240000000,240000000,188000000,203000000,172000000,320000000,450000000
458,Malaysia,10397000000,10104000000,11445000000,13820000000,14336000000,17243000000,15690000000,17860000000,18400000000,19480000000,19629000000,19457000000,19762000000,21198000000,21726000000,21457000000,22000000000
466,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,Martinique,220000000,220000000,220000000,220000000,221000000,220000000,220000000,220000000,220000000,220000000,220000000,220000000,150000000,150000000,150000000,150000000,150000000
478,Mauritania,100000000,100000000,110000000,110000000,200000000,200000000,300000000,300000000,373963000,409513000,322419000,339977000,552000000,565000000,644000000,690000000,770000000
484,Mexico,27744000000,29413000000,31677000000,29966000000,33372000000,33593000000,34992000000,37452000000,40362000000,38757000000,37139000000,35160000000,34503000000,35400000000,36184000000,34612000000,35000000000
498,Rep. of Moldova,74000000,50000000,222000000,200000000,300000000,255000000,440000000,641000000,837000000,800000000,750000000,700000000,900000000,1000000000,1200000000,1150000000,1300000000
496,Mongolia,109000000,104000000,92000000,68000000,148000000,162000000,62000000,112000000,140800000,179800000,269300000,234800000,323000000,426000000,349000000,259000000,411000000
504,Morocco,7414000000,7530000000,8100000000,10000000000,10200000000,10400000000,11000000000,11000000000,11352000000,12792000000,14047000000,14518886000,14000000000,14000000000,16270000000,16870000000,15710000000
508,Mozambique,212000000,216000000,270000000,265000000,490000000,600000000,570000000,560000000,605000000,665000000,744000000,777000000,884000000,976000000,1184000000,1299000000,1502000000
516,Namibia,150000000,-5000000,0,0,0,0,0,0,0,0,0,0,5000000,390000000,501000000,662000000,731000000
524,Nepal,280000000,290000000,300000000,285000000,290000000,295000000,285000000,290000000,295000000,300000000,295000000,295000000,1360000000,2100000000,2720000000,2990000000,3100000000
528,Netherlands,3200000000,3480000000,3450000000,3450000000,3085000000,2450000000,2380000000,2496000000,2790000000,2700000000,2700000000,2700000000,2138000000,2318000000,2056000000,2000000000,2000000000
540,New Caledonia,0,0,100000000,93000000,100000000,100000000,115000000,119000000,119302000,121818000,137108000,138141000,160000000,146000000,125000000,119000000,106000000
554,New Zealand,950000000,960000000,950000000,950000000,1000000000,1080000000,1110000000,1100000000,1120000000,1100000000,1100000000,1100000000,1100000000,1200000000,1140000000,1160000000,1100000000
558,Nicaragua,377000000,350000000,360000000,360000000,549000000,890000000,521000000,530000000,530000000,530000000,530000000,530000000,600000000,700000000,620000000,650000000,700000000
562,Niger,30000000,30000000,40000000,40000000,54000000,54000000,54000000,54000000,62000000,42000000,40000000,40000000,32000000,73000000,73000000,29000000,21000000
566,Nigeria,2700000000,2500000000,2500000000,3000000000,2100000000,2300000000,2300000000,2400000000,3300000000,4700000000,5000000000,5000000000,10000000000,12000000000,16000000000,20000000000,20000000000
579,Norway,1676000000,1827000000,1851000000,1870000000,1631000000,1650000000,1420000000,1613000000,1695000000,1700000000,1700000000,1650000000,1298000000,1387000000,1659000000,1700000000,1700000000
